1, 1, 4.000000000000000, 0.858407346410207, 2.809952020645142
1, 10, 3.600000000000000, 0.458407346410207, 2.761759996414185
1, 100, 3.200000000000000, 0.058407346410207, 2.752223968505859
1, 1000, 3.148000000000000, 0.006407346410207, 2.786592006683350
1, 10000, 3.134000000000000, 0.007592653589793, 3.058207988739014
1, 100000, 3.141080000000000, 0.000512653589793, 5.912320137023926
2, 2, 2.000000000000000, 1.141592653589793, 3.175456047058105
2, 20, 3.400000000000000, 0.258407346410207, 2.764960050582886
2, 200, 3.300000000000000, 0.158407346410207, 2.827199935913086
2, 2000, 3.178000000000000, 0.036407346410207, 2.801759958267212
2, 20000, 3.146800000000000, 0.005207346410207, 3.028512001037598
2, 200000, 3.140840000000000, 0.000752653589793, 5.957824230194092
4, 4, 3.000000000000000, 0.141592653589793, 2.791840076446533
4, 40, 3.200000000000000, 0.058407346410207, 2.793663978576660
4, 400, 3.170000000000000, 0.028407346410207, 2.796895980834961
4, 4000, 3.145000000000000, 0.003407346410207, 2.810111999511719
4, 40000, 3.143900000000000, 0.002307346410207, 3.098400115966797
4, 400000, 3.143820000000000, 0.002227346410207, 5.937920093536377
8, 8, 2.500000000000000, 0.641592653589793, 2.684031963348389
8, 80, 3.200000000000000, 0.058407346410207, 2.822175979614258
8, 800, 3.225000000000000, 0.083407346410207, 2.796416044235229
8, 8000, 3.152000000000000, 0.010407346410207, 2.853535890579224
8, 80000, 3.142350000000000, 0.000757346410207, 3.133568048477173
8, 800000, 3.142345000000000, 0.000752346410207, 5.989600181579590
16, 16, 3.000000000000000, 0.141592653589793, 2.868160009384155
16, 160, 3.150000000000000, 0.008407346410207, 2.856096029281616
16, 1600, 3.202500000000000, 0.060907346410207, 2.822560071945190
16, 16000, 3.155250000000000, 0.013657346410207, 2.841887950897217
16, 160000, 3.141050000000000, 0.000542653589793, 3.144831895828247
16, 1600000, 3.141447500000000, 0.000145153589793, 5.982816219329834
32, 32, 3.125000000000000, 0.016592653589793, 2.871488094329834
32, 320, 3.187500000000000, 0.045907346410207, 2.861567974090576
32, 3200, 3.167500000000000, 0.025907346410207, 3.080543994903564
32, 32000, 3.159125000000000, 0.017532346410207, 2.956320047378540
32, 320000, 3.145275000000000, 0.003682346410207, 3.615904092788696
32, 3200000, 3.141445000000000, 0.000147653589793, 6.630815982818604
64, 64, 3.187500000000000, 0.045907346410207, 2.868479967117310
64, 640, 3.243750000000000, 0.102157346410207, 3.019840002059937
64, 6400, 3.151875000000000, 0.010282346410207, 2.965183973312378
64, 64000, 3.148000000000000, 0.006407346410207, 3.033312082290649
64, 640000, 3.142237500000000, 0.000644846410207, 3.444927930831909
64, 6400000, 3.141019375000000, 0.000573278589793, 6.336991786956787
